"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Adam","Lundkvist","Adam Lundkvist",2019,"HOU",2561,"FB/WB",466,0.644,0.637,3.37361383810639,0.723951467404804,18.9162523137403,-3.56883333333333,303.75,17.4681764935572,0.643776824034335,0.636537309360287,0.126461120053968,0.723951467404804,18.9162523137403,-3.56883333333333,89,122,"Lundkvist"
"Ezequiel","Barco","Ezequiel Barco",2019,"ATL",1029,"Wing",232,0.711,0.697,3.32624913752079,1.43372807651758,16.8354778469716,0.46139393939394,1425,21.6443148688047,0.711206896551724,0.696869615786548,0.310320619243922,1.43372807651758,16.8354778469716,0.46139393939394,216,255,"Barco"
"Mathieu","Deplagne","Mathieu Deplagne",2019,"CIN",3100,"FB/WB",299,0.722,0.711,3.32576735317705,1.11229677363781,15.2611504264053,0.983356481481481,254.4,9.25935483870968,0.722408026755853,0.711285059019475,0.102991505130644,1.11229677363781,15.2611504264053,0.983356481481481,255,280,"Deplagne"
"Mark-Anthony","Kaye","Mark-Anthony Kaye",2019,"LAFC",2676,"CM",461,0.768,0.761,3.31376243382693,0.718820484561156,16.3430037576907,2.92860169491525,177.811,16.5381165919283,0.767895878524946,0.760707673679334,0.118879369823388,0.718820484561156,16.3430037576907,2.92860169491525,406,385,"Kaye"
"Scott","Sutter","Scott Sutter",2019,"VAN",1080,"FB/WB",143,0.678,0.656,3.24983218498528,2.27260991957012,16.8955474375078,-0.495567010309278,170.177,12.7111111111111,0.678321678321678,0.655595579125977,0.288873971998691,2.27260991957012,16.8955474375078,-0.495567010309278,113,188,"Sutter"
"Samuel","Piette","Samuel Piette",2019,"MTL",2382,"CM",146,0.836,0.814,3.20540660619735,2.1954839768475,20.0160181482742,2.1227868852459,143.159,5.88413098236776,0.835616438356164,0.813661598587689,0.129185152894604,2.1954839768475,20.0160181482742,2.1227868852459,524,505,"Piette"
"Victor","Cabrera","Victor Cabrera",2019,"MTL",759,"CB",25,0.8,0.676,3.08974848687649,12.358993947506,20.3143711139456,3.27175,300,3.16205533596838,0.8,0.67641006052494,0.390798227589121,12.358993947506,20.3143711139456,3.27175,168,441,"Cabrera"
"Brett","Levis","Brett Levis",2019,"VAN",324,"FB/WB",46,0.804,0.739,3.01157297380269,6.54689776913627,15.2031317424046,-3.17027027027027,74.163,13.6296296296296,0.804347826086957,0.738878848395594,0.892317918163759,6.54689776913627,15.2031317424046,-3.17027027027027,329,450,"Levis"
"Diego","Fagundez","Diego Fagundez",2019,"NER",1234,"Wing",202,0.708,0.693,3.00084985420107,1.485569234753,15.9669297779026,0.763181818181818,205,15.7147487844408,0.707920792079208,0.693065099731678,0.233453473260375,1.485569234753,15.9669297779026,0.763181818181818,211,252,"Fagundez"
"Leonardo","Bertone","Leonardo Bertone",2019,"CIN",2125,"CDM",149,0.611,0.591,2.9797890856862,1.99985844676926,18.6323031879459,4.40285714285714,496.667,6.73129411764706,0.610738255033557,0.590739670565864,0.134616353988647,1.99985844676926,18.6323031879459,4.40285714285714,40,81,"Bertone"
"Danny","Leyva","Danny Leyva",2019,"SEA",463,"CDM",45,0.867,0.801,2.96795776486397,6.59546169969771,18.7257927373593,5.39320512820513,89.872,9.3304535637149,0.866666666666667,0.80071204966969,0.615386491202897,6.59546169969771,18.7257927373593,5.39320512820513,503,530,"Leyva"
"Niko","Hansen","Niko Hansen",2019,"CLB,HOU",331,"Wing",65,0.769,0.724,2.96065781638027,4.55485817904656,17.9132383272799,-1.2742,79.163,18.8519637462236,0.769230769230769,0.723682187440304,0.858680212605757,4.55485817904656,17.9132383272799,-1.2742,288,390,"Hansen"
"Alex","Roldan","Alex Roldan",2019,"SEA",487,"Wing",41,0.878,0.806,2.94872033596039,7.19200081941558,15.2358564676626,-4.98333333333333,57.225,8.08213552361396,0.878048780487805,0.806128772293649,0.581267253084594,7.19200081941558,15.2358564676626,-4.98333333333333,516,535,"Roldan"
"David","Accam","David Accam",2019,"PHI,CLB",1080,"Wing",134,0.731,0.709,2.92729881033302,2.18455135099479,14.5636005139199,-3.33969387755102,1137.92,11.9111111111111,0.73134328358209,0.709497770072142,0.260204338696268,2.18455135099479,14.5636005139199,-3.33969387755102,250,304,"Accam"
"Josh","Williams","Josh Williams",2019,"CLB",803,"CB",52,0.827,0.771,2.89145984873176,5.56049970909953,14.2159102487523,-1.5003488372093,215,6.21668742216687,0.826923076923077,0.771318079832082,0.345678886025216,5.56049970909953,14.2159102487523,-1.5003488372093,441,492,"Williams"
"Dominic","Dwyer","Dominic Dwyer",2019,"ORL",1738,"F",103,0.65,0.623,2.80096733942628,2.71938576643328,18.4929829319469,2.71365671641791,1503.333,5.68929804372842,0.650485436893204,0.623291579228871,0.154713961211118,2.71938576643328,18.4929829319469,2.71365671641791,70,131,"Dwyer"
"Gedion","Zelalem","Gedion Zelalem",2019,"SKC",463,"CM",69,0.841,0.8,2.7858273088932,4.03743088245392,17.9077936685604,0.52741379310345,77.917,14.3066954643629,0.840579710144927,0.800205401320388,0.57762294093682,4.03743088245392,17.9077936685604,0.52741379310345,502,510,"Zelalem"
"Josue","Colman","Josue Colman",2019,"ORL",189,"Wing",50,0.76,0.705,2.73527966812253,5.47055933624506,21.5787236910949,2.13657894736842,450,25.3968253968254,0.76,0.705294406637549,1.38934840285589,5.47055933624506,21.5787236910949,2.13657894736842,239,369,"Colman"
"Waylon","Francis","Waylon Francis",2019,"CLB",1482,"FB/WB",213,0.746,0.734,2.70348765701055,1.26924303146035,17.4655375219324,-2.63415094339623,199.167,13.7975708502024,0.746478873239437,0.733786442924833,0.175124706526999,1.26924303146035,17.4655375219324,-2.63415094339623,316,341,"Francis"
"Darwin","Ceren","Darwin Ceren",2019,"HOU",575,"CDM",50,0.82,0.767,2.66188004612922,5.32376009225844,17.3852799395022,1.04341463414634,349.375,8.34782608695652,0.82,0.766762399077416,0.444418233788531,5.32376009225844,17.3852799395022,1.04341463414634,427,481,"Ceren"
"Jalil","Anibaba","Jalil Anibaba",2019,"NER",744,"CB",23,0.652,0.537,2.64561571180821,11.5026770078618,23.0538392600782,0.475333333333339,101.25,2.96774193548387,0.652173913043478,0.537147142964861,0.341369769265575,11.5026770078618,23.0538392600782,0.475333333333339,16,134,"Anibaba"
"Leonardo","Jara","Leonardo Jara",2019,"DCU",2486,"FB/WB",297,0.747,0.739,2.59916507452728,0.87513975573309,15.8990980803402,-2.49063063063063,560,11.4690265486726,0.747474747474748,0.738723349917417,0.100370010923016,0.87513975573309,15.8990980803402,-2.49063063063063,328,342,"Jara"
"Romain","Metanire","Romain Metanire",2019,"MIN",2606,"FB/WB",582,0.641,0.637,2.55359308607879,0.438761698638968,17.2277848479814,-1.93742627345844,411.833,21.4397544128933,0.640893470790378,0.636505853803988,0.0940694306460337,0.438761698638968,17.2277848479814,-1.93742627345844,88,114,"Metanire"
"Eduardo","Sosa","Eduardo Sosa",2019,"CLB",352,"CAM",52,0.808,0.759,2.55304535478353,4.90970260535295,14.1370567390147,5.19416666666667,120.2,14.1818181818182,0.807692307692308,0.758595281638778,0.696285096759146,4.90970260535295,14.1370567390147,5.19416666666667,395,457,"Sosa"
"Maynor","Figueroa","Maynor Figueroa",2019,"HOU",2139,"CB",71,0.761,0.725,2.52796818315983,3.56051856783074,19.2379263568981,5.82453703703704,70.25,3.18653576437588,0.76056338028169,0.724958194603383,0.11345719756117,3.56051856783074,19.2379263568981,5.82453703703704,290,371,"Figueroa"
"Marquinhos","Pedroso","Marquinhos Pedroso",2019,"FCD,DCU",429,"FB/WB",53,0.736,0.689,2.48626159876585,4.69105962031292,17.6150230677869,-6.44589743589744,375,11.8601398601399,0.735849056603774,0.688938460400644,0.556366231891658,4.69105962031292,17.6150230677869,-6.44589743589744,201,312,"Pedroso"
"Hassani","Dotson","Hassani Dotson",2019,"MIN",1521,"FB/WB",151,0.715,0.699,2.43256470561028,1.61097000371542,17.4981642413109,-1.25328703703704,56.25,9.53057199211045,0.71523178807947,0.699122088042316,0.153534655975402,1.61097000371542,17.4981642413109,-1.25328703703704,221,266,"Dotson"
"Dave","Romney","Dave Romney",2019,"LAG",740,"FB/WB",69,0.768,0.733,2.43082312494516,3.52293206513792,17.6108223668786,-2.20452830188679,118.95,8.95135135135135,0.768115942028985,0.732886621377606,0.315350027019913,3.52293206513792,17.6108223668786,-2.20452830188679,313,386,"Romney"
"Ricardo","Pepi","Ricardo Pepi",2019,"FCD",83,"sub",10,1,0.759,2.4119112342596,24.119112342596,12.1922624498134,-1.357,NA,11.566265060241,1,0.75880887657404,2.78968046372195,24.119112342596,12.1922624498134,-1.357,397,556,"Pepi"
"Dillon","Powers","Dillon Powers",2019,"ORL",673,"CM",88,0.795,0.768,2.389801800251,2.71568386392159,17.3931780633693,1.61492857142857,200,12.5527488855869,0.795454545454545,0.768297706815329,0.340892975964482,2.71568386392159,17.3931780633693,1.61492857142857,433,434,"Powers"
"Guram","Kashia","Guram Kashia",2019,"SJE",778,"CB",18,0.833,0.702,2.36794221401215,13.1552345222897,20.5909071419964,10.856,590,2.22107969151671,0.833333333333333,0.701780988110436,0.292188242345972,13.1552345222897,20.5909071419964,10.856,230,497,"Kashia"
"Luis","Diaz","Luis Diaz",2019,"CLB",864,"Wing",117,0.624,0.605,2.19647002685815,1.87732480928047,16.7007738784727,-3.40904109589041,NA,13,0.623931623931624,0.605158375838819,0.244052225206461,1.87732480928047,16.7007738784727,-3.40904109589041,49,92,"Diaz"
