"","Var.1","Var.2","Var.3","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Expected","Expected","Expected","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Var.26","Var.27","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Penalty Kicks","Penalty Kicks","Penalty Kicks","Penalty Kicks","Var.45","Var.46","Var.47","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper","Var.73","Var.74","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected","Var.91","Var.92","Total","Total","Total","Total","Total","Short","Short","Short","Medium","Medium","Medium","Long","Long","Long","Var.107","Var.108","Var.109","Var.110","Var.111","Var.112","Var.113","Var.114","Var.115","Var.116","Var.117","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Corner Kicks","Corner Kicks","Corner Kicks","Height","Height","Height","Body Parts","Body Parts","Body Parts","Body Parts","Body Parts","Outcomes","Outcomes","Outcomes","Outcomes","Outcomes","Var.142","Var.143","SCA","SCA","SCA Types","SCA Types","SCA Types","SCA Types","SCA Types","GCA","GCA","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","Var.159","Var.160","Tackles","Tackles","Tackles","Tackles","Tackles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Pressures","Pressures","Pressures","Pressures","Pressures","Pressures","Blocks","Blocks","Blocks","Blocks","Var.180","Var.181","Var.182","Var.183","Var.184","Var.185","Touches","Touches","Touches","Touches","Touches","Touches","Touches","Dribbles","Dribbles","Dribbles","Dribbles","Dribbles","Carries","Carries","Carries","Receiving","Receiving","Receiving","Var.204","Var.205","Var.206","Var.207","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success (xG)","Team Success (xG)","Team Success (xG)","Team Success (xG)","Var.226","Var.227","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Aerial Duels","Aerial Duels","Aerial Duels","League"
"53","Barcelona","30","64.2","38","418","3,420","88","61","8","9","76","2","2.32","1.61","3.92","2.11","3.71","74.3","67.5","54.2","1.96","1.43","3.38","1.78","3.20","Barcelona","2","38","38","3,420","36","0.95","129","96",".736","26","9","3","17","44.7","2","2","0","0","Barcelona","2","38.0","36","2","0","3","1","39.5","0.30","+4.5","+0.12","156","300","52.0","953","206","21.5","28.9","222","42.8","39.4","319","36","11.3","33","0.87","16.6","Barcelona","30","88","8","9","552","243","50","44.0","14.53","6.39","0.14","0.33","74.3","67.5","0.13","+13.7","+12.5","Barcelona","30","23464","26734","87.8","421072","125653","335","749","44.7","18624","20296","91.8","4505","5689","79.2","61","54.2","+6.8","410","1779","479","60","1923","Barcelona","30","26734","25016","1718","568","117","4148","583","394","202","35","23","4","21255","2663","2816","9059","15802","681","652","329","23464","93","233","465","477","Barcelona","30","939","24.71","709","38","80","38","72","157","4.13","114","5","12","9","15","2","Barcelona","30","572","391","239","248","85","211","563","37.5","352","6225","1796","28.9","1647","2961","1617","586","110","2","476","391","584","7","Barcelona","30","64.2","30827","2378","7917","15807","9151","1197","29198","578","912","63.4","613","36","23447","118845","66871","26137","23464","89.8","421","406","Barcelona","30","38","3,420","90","100","418","84","112","21","154","2.29","90","36","+54","+1.42","74.3","41.0","+33.3","+0.88","Barcelona","30","76","2","1","410","550","102","394","391","391","8","2","0","3181","327","302","52.0","La-Liga"
"63","Betis","25","61.7","38","418","3,420","43","30","5","7","89","1","1.13","0.79","1.92","1.00","1.79","47.8","42.6","32.8","1.26","0.86","2.12","1.12","1.98","Betis","2","38","38","3,420","52","1.37","156","108",".692","14","8","16","11","28.9","5","4","1","0","Betis","2","38.0","52","4","2","10","0","50.5","0.30","-1.5","-0.04","174","413","42.1","1134","193","26.2","29.6","273","42.5","39.5","295","26","8.8","42","1.11","16.5","Betis","25","43","5","7","440","154","31","35.0","11.58","4.05","0.09","0.25","47.8","42.6","0.10","-4.8","-4.6","Betis","25","19506","22819","85.5","366265","110101","234","602","38.9","15279","16753","91.2","3993","5464","73.1","30","32.8","-2.8","320","1241","346","64","1519","Betis","25","22819","21007","1812","616","60","3395","593","590","187","19","27","6","17054","2630","3135","9068","11942","642","645","292","19506","66","290","362","440","Betis","25","713","18.76","537","45","44","22","64","79","2.08","60","0","6","5","7","1","Betis","25","622","420","311","240","71","191","601","31.8","410","5208","1385","26.6","1751","2310","1147","512","87","2","425","361","653","13","Betis","25","61.7","26963","2579","8172","13566","7121","960","25218","495","793","62.4","538","34","20049","110819","61531","21949","19506","88.9","479","437","Betis","25","38","3,420","90","100","418","84","113","21","153","1.32","44","52","-8","-0.21","47.8","46.7","+1.2","+0.03","Betis","25","89","1","0","435","548","79","590","361","420","5","6","0","3080","329","358","47.9","La-Liga"
"73","Celta Vigo","28","51.7","38","418","3,420","52","37","7","7","79","6","1.37","0.97","2.34","1.18","2.16","43.9","38.7","29.4","1.15","0.77","1.93","1.02","1.79","Celta Vigo","2","38","38","3,420","62","1.63","163","108",".656","10","11","17","8","21.1","7","6","0","1","Celta Vigo","2","38.0","62","6","3","5","1","56.0","0.31","-5.0","-0.13","272","698","39.0","913","156","48.2","41.4","344","75.0","58.2","393","19","4.8","29","0.76","15.7","Celta Vigo","28","52","7","7","438","157","21","35.8","11.53","4.13","0.10","0.29","43.9","38.7","0.09","+8.1","+6.3","Celta Vigo","28","15122","18785","80.5","294087","99004","235","581","40.4","11423","12923","88.4","3464","5281","65.6","37","29.4","+7.6","328","1016","280","68","1354","Celta Vigo","28","18785","16952","1833","544","29","2808","526","659","159","22","15","6","12575","2528","3682","5231","11383","881","686","233","15122","81","327","306","394","Celta Vigo","28","726","19.11","534","49","56","38","49","89","2.34","64","4","5","6","10","0","Celta Vigo","28","620","399","335","222","63","239","674","35.5","435","6596","1717","26.0","2289","3010","1297","563","101","2","462","382","933","10","Celta Vigo","28","51.7","23086","2382","7384","11775","5318","753","21294","475","739","64.3","509","13","15670","85161","45508","17753","15122","85.2","430","396","Celta Vigo","28","38","3,420","90","100","418","85","110","18","156","1.08","53","62","-9","-0.24","43.9","58.8","-14.9","-0.39","Celta Vigo","28","79","6","5","458","484","90","659","382","399","3","7","1","3203","507","469","51.9","La-Liga"
"83","Eibar","25","54.1","38","418","3,420","46","26","7","8","81","2","1.21","0.68","1.89","1.03","1.71","50.6","44.7","31.7","1.33","0.83","2.17","1.18","2.01","Eibar","2","38","38","3,420","50","1.32","126","80",".627","11","14","13","9","23.7","4","3","1","0","Eibar","2","38.0","50","3","2","3","1","43.7","0.33","-5.3","-0.14","338","870","38.9","898","109","72.5","53.7","234","93.6","71.4","285","25","8.8","59","1.55","16.8","Eibar","25","46","7","8","519","154","19","29.7","13.66","4.05","0.08","0.25","50.6","44.7","0.09","-4.6","-5.7","Eibar","25","13129","18279","71.8","283897","103336","154","603","25.5","9070","11042","82.1","3905","6634","58.9","26","31.7","-5.7","363","1357","382","149","1999","Eibar","25","18279","16170","2109","531","29","2883","754","1057","224","8","43","6","9543","2868","5868","4379","10542","1386","1033","253","13129","85","440","316","569","Eibar","25","757","19.92","526","97","54","28","52","69","1.82","48","6","3","6","6","0","Eibar","25","644","447","249","287","108","225","646","34.8","421","6080","1906","31.3","1423","2762","1895","547","65","1","482","368","908","10","Eibar","25","54.1","22712","1710","5109","11445","7419","1026","20625","432","686","63.0","466","37","13785","76466","37467","16887","13129","77.7","522","411","Eibar","25","38","3,420","90","100","418","85","111","19","154","1.24","46","50","-4","-0.11","50.6","45.0","+5.7","+0.15","Eibar","25","81","2","1","521","390","92","1057","368","447","5","3","0","4499","789","799","49.7","La-Liga"
"93","Espanyol","25","49.5","38","418","3,420","44","26","4","4","90","2","1.16","0.68","1.84","1.05","1.74","48.6","45.6","32.3","1.28","0.85","2.13","1.20","2.05","Espanyol","1","38","38","3,420","50","1.32","156","114",".718","14","11","13","10","26.3","8","6","2","0","Espanyol","1","38.0","50","6","5","8","2","51.6","0.29","+3.6","+0.09","255","602","42.4","874","129","43.2","38.4","329","68.1","50.3","452","30","6.6","6","0.16","12.5","Espanyol","25","44","4","4","464","153","25","33.0","12.21","4.03","0.09","0.26","48.6","45.6","0.10","-4.6","-5.6","Espanyol","25","13997","17702","79.1","280524","99424","186","556","33.5","10273","11821","86.9","3538","5325","66.4","26","32.3","-6.3","316","1037","341","73","1609","Espanyol","25","17702","15817","1885","564","51","2816","509","544","175","15","25","5","11494","2527","3681","6162","9410","827","730","209","13997","73","321","273","489","Espanyol","25","726","19.11","531","48","45","54","43","72","1.89","47","2","1","11","6","5","Espanyol","25","674","443","345","248","81","248","785","31.6","537","6186","1433","23.2","2102","2845","1239","551","133","5","418","408","1030","12","Espanyol","25","49.5","22146","2654","7809","10516","5234","805","20324","396","594","66.7","427","17","14656","83505","45144","16688","13995","83.9","454","438","Espanyol","25","38","3,420","90","100","418","85","114","18","152","1.39","48","50","-2","-0.05","48.6","50.6","-1.9","-0.05","Espanyol","25","90","2","2","531","510","84","544","408","443","3","7","2","3196","467","457","50.5","La-Liga"
"103","Getafe","26","40.8","38","418","3,420","47","34","6","6","107","7","1.24","0.89","2.13","1.08","1.97","44.3","39.8","29.2","1.17","0.77","1.93","1.05","1.81","Getafe","2","38","38","3,420","35","0.92","128","100",".758","15","14","9","13","34.2","7","4","2","1","Getafe","2","38.0","35","4","1","2","3","39.6","0.28","+7.6","+0.20","365","979","37.3","818","56","87.3","57.6","279","95.0","64.3","326","32","9.8","27","0.71","15.2","Getafe","26","47","6","6","385","123","12","31.9","10.13","3.24","0.11","0.33","44.3","39.8","0.11","+2.7","+1.2","Getafe","26","8264","12884","64.1","181561","82891","167","607","27.5","5638","7483","75.3","2459","4794","51.3","34","29.2","+4.8","272","810","282","81","1600","Getafe","26","12884","10790","2094","609","17","2131","574","638","157","8","28","7","5428","2512","4944","2814","7096","1152","977","131","8264","93","424","291","510","Getafe","26","572","15.05","368","85","41","26","51","74","1.95","47","6","7","4","9","1","Getafe","26","643","418","275","282","86","232","671","34.6","439","7118","1852","26.0","2002","3590","1526","605","91","1","514","453","938","7","Getafe","26","40.8","17374","1922","5103","8129","4992","765","15338","342","587","58.3","366","18","9352","55393","28350","11705","8264","70.6","514","425","Getafe","26","38","3,420","90","100","418","85","114","18","152","1.55","48","35","+13","+0.34","44.3","40.0","+4.3","+0.11","Getafe","26","107","7","4","642","501","102","638","453","418","3","6","3","3915","656","681","49.1","La-Liga"
"113","Girona","26","48.0","38","418","3,420","37","23","6","6","81","4","0.97","0.61","1.58","0.82","1.42","39.5","35.3","25.6","1.04","0.67","1.71","0.93","1.60","Girona","2","38","38","3,420","53","1.39","198","155",".773","9","10","19","9","23.7","8","8","0","0","Girona","2","38.0","53","8","2","7","2","59.5","0.27","+8.5","+0.22","241","622","38.7","872","187","47.2","41.0","320","65.6","51.5","395","30","7.6","15","0.39","13.0","Girona","26","37","6","6","394","140","18","35.5","10.37","3.68","0.08","0.22","39.5","35.3","0.09","-2.5","-4.3","Girona","26","13258","17104","77.5","276484","96684","154","467","33.0","9411","10884","86.5","3693","5753","64.2","23","25.6","-2.6","276","917","272","96","1504","Girona","26","17104","15230","1874","576","29","2578","628","743","134","18","26","3","10487","2564","4053","4776","10015","867","754","287","13258","53","402","325","390","Girona","26","604","15.89","399","74","41","35","55","63","1.66","42","5","2","7","7","0","Girona","26","593","369","297","239","57","247","687","36.0","440","6240","1516","24.3","2063","2961","1216","614","126","1","488","432","1031","9","Girona","26","48.0","21532","2517","7904","10424","4554","710","19723","357","609","58.6","398","9","13869","76076","42307","15959","13258","83.1","462","395","Girona","26","38","3,420","90","100","418","85","113","19","153","0.97","37","53","-16","-0.42","39.5","50.2","-10.7","-0.28","Girona","26","81","4","2","537","527","60","743","432","369","3","6","1","3289","591","573","50.8","La-Liga"
"123","Huesca","30","44.7","38","418","3,420","43","28","6","7","113","3","1.13","0.74","1.87","0.97","1.71","44.4","39.1","25.0","1.17","0.66","1.83","1.03","1.69","Huesca","3","38","38","3,420","65","1.71","167","112",".665","7","12","19","6","15.8","9","9","0","0","Huesca","3","38.0","65","9","2","2","3","57.0","0.30","-5.0","-0.13","335","862","38.9","774","76","74.8","53.3","306","92.5","65.9","348","19","5.5","13","0.34","13.3","Huesca","30","43","6","7","470","140","18","29.8","12.37","3.68","0.08","0.26","44.4","39.1","0.09","-1.4","-2.1","Huesca","30","10778","14817","72.7","218839","88242","179","517","34.6","7850","9414","83.4","2749","4886","56.3","28","25.0","+3.0","321","858","269","107","1435","Huesca","30","14817","12898","1919","534","21","2097","525","770","172","18","17","4","8188","2332","4297","3363","9106","934","805","149","10778","84","335","289","406","Huesca","30","682","17.95","467","80","47","48","40","62","1.63","34","7","4","9","8","0","Huesca","30","721","482","384","276","61","273","762","35.8","489","6264","1617","25.8","2076","3023","1165","553","120","3","433","437","1066","11","Huesca","30","44.7","19382","2198","6336","9324","4890","802","17507","398","655","60.8","426","18","11809","73035","38700","13690","10778","78.7","516","393","Huesca","30","38","3,420","90","100","418","84","111","23","155","0.87","43","65","-22","-0.58","44.4","55.1","-10.7","-0.28","Huesca","30","113","3","1","579","442","94","770","437","482","4","9","3","3469","571","586","49.4","La-Liga"
"133","Leganés","29","42.8","38","418","3,420","36","25","3","5","104","4","0.95","0.66","1.61","0.87","1.53","36.6","33.0","23.8","0.96","0.63","1.59","0.87","1.50","Leganés","2","38","38","3,420","43","1.13","129","89",".690","11","12","15","11","28.9","4","3","1","0","Leganés","2","38.0","43","3","2","3","1","43.4","0.32","+1.4","+0.04","356","849","41.9","870","110","66.9","50.7","303","88.1","65.5","393","28","7.1","22","0.58","14.4","Leganés","29","36","3","5","407","128","13","31.4","10.71","3.37","0.08","0.26","36.6","33.0","0.08","-0.6","0.0","Leganés","29","10787","15033","71.8","224396","88505","180","529","34.0","7676","9301","82.5","2931","5203","56.3","25","23.8","+1.2","299","856","244","128","1390","Leganés","29","15033","13198","1835","454","20","2541","555","744","142","18","24","5","8037","2530","4466","4926","7295","1153","859","198","10787","69","440","269","405","Leganés","29","601","15.82","433","70","32","26","38","58","1.53","39","6","3","6","2","2","Leganés","29","636","417","334","238","64","240","711","33.8","471","6369","1508","23.7","2196","2848","1325","515","84","2","431","433","1081","9","Leganés","29","42.8","19246","2132","6238","9352","4707","707","17436","322","550","58.5","352","19","11092","62739","32067","13854","10787","77.9","410","347","Leganés","29","38","3,420","90","100","418","85","112","17","154","1.18","37","43","-6","-0.16","36.6","38.7","-2.1","-0.05","Leganés","29","104","4","2","542","398","75","744","433","417","2","4","1","3523","721","592","54.9","La-Liga"
"143","Levante","26","45.6","38","418","3,420","56","39","5","7","107","7","1.47","1.03","2.50","1.34","2.37","49.1","43.7","34.6","1.29","0.91","2.20","1.15","2.06","Levante","3","38","38","3,420","66","1.74","216","161",".731","11","11","16","7","18.4","9","8","1","0","Levante","3","38.0","66","8","1","9","3","66.1","0.27","+3.1","+0.08","249","637","39.1","652","173","56.3","44.5","390","69.2","51.7","393","30","7.6","19","0.50","13.1","Levante","26","56","5","7","425","151","29","35.5","11.18","3.97","0.12","0.34","49.1","43.7","0.11","+6.9","+7.3","Levante","26","10953","14737","74.3","215012","85727","169","528","32.0","8138","9596","84.8","2646","4613","57.4","39","34.6","+4.4","293","895","280","72","1450","Levante","26","14737","12796","1941","527","32","2174","508","674","201","45","21","4","8716","2555","3466","4014","8825","678","720","227","10953","77","396","302","460","Levante","26","628","16.53","436","51","58","25","55","93","2.45","56","11","9","5","9","3","Levante","26","590","377","322","210","58","219","747","29.3","528","5943","1405","23.6","2007","2712","1224","622","142","3","480","422","883","9","Levante","26","45.6","19154","2351","6547","8919","4957","781","17245","456","761","59.9","490","21","11909","76276","43242","13557","10953","80.8","413","490","Levante","26","38","3,420","90","100","418","84","113","20","152","1.16","59","66","-7","-0.18","49.1","66.9","-17.8","-0.47","Levante","26","107","7","5","501","487","85","674","422","377","6","9","3","3292","325","427","43.2","La-Liga"
"153","Rayo Vallecano","29","48.7","38","418","3,420","40","24","5","5","101","8","1.05","0.63","1.68","0.92","1.55","40.1","36.3","25.7","1.05","0.68","1.73","0.95","1.63","Rayo Vallecano","2","38","38","3,420","70","1.84","174","113",".638","8","8","22","7","18.4","11","7","4","0","Rayo Vallecano","2","38.0","70","7","0","11","2","61.9","0.30","-6.1","-0.16","309","649","47.6","887","194","51.2","41.8","293","66.6","51.2","418","29","6.9","16","0.42","13.6","Rayo Vallecano","29","40","5","5","446","144","21","32.3","11.74","3.79","0.08","0.24","40.1","36.3","0.08","-0.1","-1.3","Rayo Vallecano","29","12606","16257","77.5","251724","92792","181","542","33.4","9393","10866","86.4","3032","4849","62.5","24","25.7","-1.7","323","925","237","85","1366","Rayo Vallecano","29","16257","14327","1930","567","17","2462","598","783","184","24","34","5","10351","2338","3568","4147","9969","785","783","268","12606","58","393","246","436","Rayo Vallecano","29","696","18.32","491","74","48","40","42","63","1.66","44","3","1","7","7","1","Rayo Vallecano","29","646","425","360","224","62","223","655","34.0","432","5742","1520","26.5","2144","2605","993","551","79","2","472","433","1031","8","Rayo Vallecano","29","48.7","20898","2422","7382","9958","5013","697","19042","576","897","64.2","624","23","13907","88398","49189","15259","12606","82.6","512","540","Rayo Vallecano","29","38","3,420","90","100","418","84","111","20","155","0.84","41","70","-29","-0.76","40.1","53.5","-13.4","-0.35","Rayo Vallecano","29","101","8","5","567","455","71","783","433","425","5","11","1","3295","418","433","49.1","La-Liga"
"163","Real Madrid","27","60.0","38","418","3,420","61","39","9","9","79","6","1.61","1.03","2.63","1.37","2.39","59.9","53.3","41.7","1.58","1.10","2.67","1.40","2.50","Real Madrid","3","38","38","3,420","46","1.21","133","93",".699","21","5","12","12","31.6","8","6","1","1","Real Madrid","3","38.0","46","6","0","6","0","44.2","0.30","-1.8","-0.05","145","388","37.4","911","230","30.2","34.1","244","46.3","45.0","275","26","9.5","19","0.50","14.6","Real Madrid","27","61","9","9","579","202","19","34.9","15.24","5.32","0.09","0.26","59.9","53.3","0.09","+1.1","-1.3","Real Madrid","27","20683","24064","85.9","386609","117065","306","759","40.3","15812","17280","91.5","4565","6025","75.8","39","41.7","-2.7","447","1560","431","97","1821","Real Madrid","27","24064","22188","1876","598","74","3518","893","762","218","12","24","16","17763","2921","3380","6319","15828","647","735","318","20683","95","281","306","523","Real Madrid","27","964","25.37","728","71","67","49","46","107","2.82","67","6","9","12","10","3","Real Madrid","27","634","418","285","252","97","196","658","29.8","462","5700","1505","26.4","1538","2732","1430","529","86","4","443","373","605","6","Real Madrid","27","60.0","28247","2150","7697","14484","7812","1217","26459","493","772","63.9","518","25","21294","112414","60491","23348","20683","88.6","406","423","Real Madrid","27","38","3,420","90","100","418","84","112","21","154","1.79","63","46","+17","+0.45","59.9","45.3","+14.5","+0.38","Real Madrid","27","79","6","4","446","545","112","762","373","418","8","6","0","3108","375","326","53.5","La-Liga"
"173","Real Sociedad","30","51.6","38","418","3,420","44","27","8","10","80","4","1.16","0.71","1.87","0.95","1.66","45.5","38.3","28.4","1.20","0.75","1.95","1.01","1.76","Real Sociedad","2","38","38","3,420","46","1.21","141","99",".688","13","11","14","9","23.7","3","2","1","0","Real Sociedad","2","38.0","46","2","1","11","2","42.8","0.29","-1.2","-0.03","272","593","45.9","1133","143","35.2","34.9","285","68.1","50.5","430","41","9.5","37","0.97","16.4","Real Sociedad","30","44","8","10","413","131","15","31.7","10.87","3.45","0.09","0.27","45.5","38.3","0.10","-1.5","-2.3","Real Sociedad","30","14697","18443","79.7","292914","96357","169","571","29.6","10904","12472","87.4","3624","5400","67.1","27","28.4","-1.4","302","991","280","95","1541","Real Sociedad","30","18443","16467","1976","595","38","3013","587","627","177","26","24","4","12258","2518","3667","5957","10197","842","841","207","14697","80","333","269","473","Real Sociedad","30","648","17.05","465","61","44","36","41","71","1.87","45","5","3","7","10","1","Real Sociedad","30","606","399","311","230","65","241","663","36.3","422","6432","1631","25.4","1987","3054","1391","610","113","4","497","425","907","12","Real Sociedad","30","51.6","23017","2695","8137","11452","5109","741","21104","439","729","60.2","474","12","15408","96296","53483","17596","14697","83.5","492","495","Real Sociedad","30","38","3,420","90","100","418","84","110","20","156","1.32","45","46","-1","-0.03","45.5","42.3","+3.2","+0.08","Real Sociedad","30","80","4","2","492","544","92","627","425","399","7","3","2","3360","549","526","51.1","La-Liga"
"183","Sevilla","27","52.2","38","418","3,420","61","47","5","6","114","6","1.61","1.24","2.84","1.47","2.71","61.3","56.6","42.3","1.61","1.11","2.73","1.49","2.60","Sevilla","3","38","38","3,419","47","1.24","145","105",".717","17","8","13","11","28.9","7","6","1","0","Sevilla","3","38.0","47","6","2","4","1","47.6","0.29","+1.6","+0.04","220","669","32.9","869","210","50.1","41.2","296","79.1","59.9","331","28","8.5","21","0.55","14.6","Sevilla","27","61","5","6","516","170","12","32.9","13.58","4.47","0.11","0.33","61.3","56.6","0.11","-0.3","-0.6","Sevilla","27","14612","18654","78.3","285396","100487","214","655","32.7","10967","12604","87.0","3431","5395","63.6","47","42.3","+4.7","371","1124","413","123","1770","Sevilla","27","18654","16747","1907","552","40","3478","630","812","221","34","25","12","11896","2848","3910","5399","10967","924","756","276","14612","95","351","329","537","Sevilla","27","798","21.00","623","57","51","30","35","108","2.84","81","4","8","8","5","2","Sevilla","27","621","422","323","220","78","200","590","33.9","390","5782","1501","26.0","1859","2623","1300","529","119","1","410","365","908","6","Sevilla","27","52.2","22894","2255","7245","10841","6249","1084","21054","416","675","61.6","449","15","15304","86120","48922","17574","14612","83.1","408","419","Sevilla","27","38","3,420","90","100","418","84","111","22","155","1.55","62","47","+15","+0.39","61.3","44.1","+17.2","+0.45","Sevilla","27","114","6","4","536","462","111","812","365","422","5","6","1","3548","493","570","46.4","La-Liga"
"193","Valencia","25","47.1","38","418","3,420","50","38","5","7","88","3","1.32","1.00","2.32","1.18","2.18","56.4","51.1","42.2","1.48","1.11","2.60","1.34","2.45","Valencia","2","38","38","3,420","35","0.92","146","119",".808","15","16","7","13","34.2","8","7","1","0","Valencia","2","38.0","35","7","2","7","2","40.3","0.24","+7.3","+0.19","219","589","37.2","634","175","52.8","43.3","302","84.1","60.6","431","30","7.0","12","0.32","13.1","Valencia","25","50","5","7","464","154","18","33.2","12.21","4.05","0.10","0.29","56.4","51.1","0.11","-6.4","-6.1","Valencia","25","13821","17600","78.5","276786","100037","141","527","26.8","10295","11891","86.6","3385","5182","65.3","38","42.2","-4.2","358","1148","353","97","1756","Valencia","25","17600","15759","1841","562","44","2542","613","715","195","14","23","8","11563","2612","3425","4381","11057","836","713","269","13821","64","341","341","467","Valencia","25","753","19.82","564","67","43","35","43","85","2.24","61","6","5","5","7","1","Valencia","25","579","381","299","212","68","204","626","32.6","422","6489","1598","24.6","2042","3074","1373","600","131","1","469","418","933","12","Valencia","25","47.1","21921","2204","7012","10554","5707","936","20135","395","652","60.6","419","20","14263","85461","46488","16683","13821","82.8","457","357","Valencia","25","38","3,420","90","100","418","84","108","23","158","1.61","51","35","+16","+0.42","56.4","40.2","+16.2","+0.43","Valencia","25","88","3","2","463","514","75","715","418","381","6","8","2","3285","476","510","48.3","La-Liga"
"202","Valladolid","28","47.0","38","418","3,420","31","19","4","7","92","0","0.82","0.50","1.32","0.71","1.21","38.8","33.5","25.0","1.02","0.66","1.68","0.88","1.54","Valladolid","2","38","38","3,420","51","1.34","151","108",".702","10","11","17","9","23.7","9","6","3","0","Valladolid","2","38.0","51","6","1","8","2","50.8","0.29","+1.8","+0.05","288","876","32.9","894","170","63.2","46.8","347","89.6","65.5","421","23","5.5","13","0.34","12.5","Valladolid","28","31","4","7","408","128","25","31.4","10.74","3.37","0.07","0.21","38.8","33.5","0.08","-7.8","-6.5","Valladolid","28","12149","16171","75.1","246384","87862","181","554","32.7","8919","10352","86.2","3049","5265","57.9","19","25.0","-6.0","290","939","220","72","1433","Valladolid","28","16171","14236","1935","569","11","2377","596","770","200","23","26","10","9726","2393","4052","4008","10016","802","731","253","12149","84","367","247","478","Valladolid","28","630","16.58","450","63","42","25","49","49","1.29","30","5","3","2","8","1","Valladolid","28","692","452","379","241","72","255","792","32.2","537","6253","1570","25.1","2337","2936","980","597","118","2","479","362","940","14","Valladolid","28","47.0","20457","2387","7015","9763","4953","662","18567","355","536","66.2","377","15","13019","75709","41513","14972","12132","81.0","469","376","Valladolid","28","38","3,420","90","100","418","85","113","18","152","1.08","32","51","-19","-0.50","38.8","52.6","-13.7","-0.36","Valladolid","28","92","0","0","513","499","96","770","362","452","6","8","1","3365","471","652","41.9","La-Liga"
"212","Villarreal","26","48.3","38","418","3,420","47","34","3","6","115","3","1.24","0.89","2.13","1.16","2.05","50.0","45.9","35.0","1.32","0.92","2.24","1.21","2.13","Villarreal","2","38","38","3,420","52","1.37","186","140",".737","10","14","14","11","28.9","5","3","1","1","Villarreal","2","38.0","52","3","2","5","3","53.5","0.27","+4.5","+0.12","239","565","42.3","692","146","51.0","42.6","300","70.7","54.6","458","44","9.6","27","0.71","14.8","Villarreal","26","47","3","6","481","166","7","34.5","12.66","4.37","0.09","0.27","50.0","45.9","0.10","-3.0","-1.9","Villarreal","26","13853","17509","79.1","280991","99711","148","488","30.3","10171","11726","86.7","3534","5295","66.7","34","35.0","-1.0","356","1194","312","74","1666","Villarreal","26","17509","15718","1791","491","41","2523","560","618","167","22","30","5","11397","2454","3658","5782","9590","807","746","219","13853","91","310","323","455","Villarreal","26","739","19.45","547","63","58","43","26","77","2.03","47","7","7","10","4","2","Villarreal","26","670","425","351","255","64","266","755","35.2","489","6516","1512","23.2","2115","3147","1254","566","154","4","412","390","957","10","Villarreal","26","48.3","21874","2267","6921","10838","5494","923","20137","443","720","61.5","477","27","14283","81225","44811","16685","13853","83.0","437","351","Villarreal","26","38","3,420","90","100","418","85","113","19","152","1.16","49","52","-3","-0.08","50.0","51.4","-1.4","-0.04","Villarreal","26","115","3","3","518","412","95","618","390","425","3","4","3","3100","475","500","48.7","La-Liga"
