"Date","Day","Comp","Round","Venue","Result","Squad","Opponent","Start","Pos","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Press","Tkl","Int","Blocks","xG","npxG","xA","SCA","GCA","PassesCmp","PassesAtt","PassesCmp%","PassesPrgDist","Carries","CarriesPrgDist","DribblesSucc","DribblesAtt","Match Report","2017-2018"
"2019-08-14","Wed","Super Cup","UEFA Super Cup","Away","L 2 (4)–2 (5)","eng Chelsea","eng Liverpool","Y","FW","73","0","1","0","0","2","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2019-2020"
"2019-08-18","Sun","Premier League","Matchweek 2","Home","D 1–1","Chelsea","Leicester City","Y","LW","70","0","0","0","0","0","0","0","0","40","20","1","0","2","0.0","0.0","0.0","0","0","19","24","79.2","25","31","148","2","8","Match Report","2019-2020"
"2019-08-24","Sat","Premier League","Matchweek 3","Away","W 3–2","Chelsea","Norwich City","Y","RW","83","0","1","0","0","2","0","0","0","58","26","3","1","2","0.2","0.2","0.6","8","2","31","37","83.8","128","51","172","2","2","Match Report","2019-2020"
"2019-08-31","Sat","Premier League","Matchweek 4","Home","D 2–2","Chelsea","Sheffield Utd","Y","RW","90","0","0","0","0","1","1","0","0","49","28","3","1","1","0.5","0.5","0.0","5","1","29","36","80.6","43","41","152","1","2","Match Report","2019-2020"
"2019-09-06","Fri","Friendlies (M)","Friendlies (M)","Home","L 0–3","us United States","mx Mexico","Y","CM","90","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","Match Report","2019-2020"
"2019-09-14","Sat","Premier League","Matchweek 5","Away","W 5–2","Chelsea","Wolves","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2019-2020"
"2019-09-17","Tue","Champions Lg","Group stage","Home","L 0–1","eng Chelsea","es Valencia","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2019-2020"
"2019-09-22","Sun","Premier League","Matchweek 6","Home","L 1–2","Chelsea","Liverpool","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2019-2020"
"2019-09-25","Wed","EFL Cup","Third round","Home","W 7–1","Chelsea","Grimsby Town","Y","AM","90","0","1","0","0","3","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2019-2020"
"2019-09-28","Sat","Premier League","Matchweek 7","Home","W 2–0","Chelsea","Brighton","N","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","Match Report","2019-2020"
"2019-10-06","Sun","Premier League","Matchweek 8","Away","W 4–1","Chelsea","Southampton","N","LW","11","0","1","0","0","0","0","0","0","6","3","0","0","0","0.0","0.0","0.3","1","1","4","6","66.7","47","6","4","0","0","Match Report","2019-2020"
"2019-10-19","Sat","Premier League","Matchweek 9","Home","W 1–0","Chelsea","Newcastle Utd","N","CM","27","0","0","0","0","1","1","0","0","21","0","0","0","0","0.5","0.5","0.5","2","1","16","18","88.9","54","16","88","0","0","Match Report","2019-2020"
"2019-10-23","Wed","Champions Lg","Group stage","Away","W 1–0","eng Chelsea","nl Ajax","N","LW","25","0","1","0","0","2","0","0","0","23","11","0","0","0","0.1","0.1","0.4","5","1","16","17","94.1","77","18","123","0","1","Match Report","2019-2020"
"2019-10-26","Sat","Premier League","Matchweek 10","Away","W 4–2","Chelsea","Burnley","Y","LW,RW","90","3","0","0","0","5","4","0","0","46","27","1","1","1","0.5","0.5","0.1","4","0","26","35","74.3","63","34","255","1","1","Match Report","2019-2020"
"2019-10-30","Wed","EFL Cup","Fourth round","Home","L 1–2","Chelsea","Manchester Utd","Y","FW","69","0","0","0","0","2","0","0","0","","","","0","","","","","","","","","","","","","","","Match Report","2019-2020"
"2019-11-02","Sat","Premier League","Matchweek 11","Away","W 2–1","Chelsea","Watford","Y","LW","82","1","0","0","0","3","3","0","0","59","15","2","0","0","0.8","0.8","0.0","2","0","42","51","82.4","90","45","263","4","4","Match Report","2019-2020"
"2019-11-05","Tue","Champions Lg","Group stage","Home","D 4–4","eng Chelsea","nl Ajax","Y","LW,AM,DM","90","0","0","0","0","0","0","0","0","35","24","3","0","0","0.0","0.0","0.4","4","1","13","24","54.2","41","31","148","6","7","Match Report","2019-2020"
"2019-11-09","Sat","Premier League","Matchweek 12","Home","W 2–0","Chelsea","Crystal Palace","Y","LW","79","1","0","0","0","6","3","0","0","43","14","0","0","1","0.9","0.9","0.2","7","0","21","34","61.8","35","38","138","6","6","Match Report","2019-2020"
"2019-11-23","Sat","Premier League","Matchweek 13","Away","L 1–2","Chelsea","Manchester City","Y","LW","90","0","0","0","0","0","0","0","0","47","26","2","0","2","0.0","0.0","0.1","3","0","28","38","73.7","70","40","229","1","2","Match Report","2019-2020"
"2019-11-27","Wed","Champions Lg","Group stage","Away","D 2–2","eng Chelsea","es Valencia","Y","LW,RW","90","1","0","0","0","3","1","0","0","47","11","1","0","0","0.7","0.7","0.3","3","0","32","36","88.9","180","44","332","4","5","Match Report","2019-2020"
"2019-11-30","Sat","Premier League","Matchweek 14","Home","L 0–1","Chelsea","West Ham","Y","LW,FW","90","0","0","0","0","5","0","0","0","59","7","1","0","1","0.4","0.4","0.1","5","0","32","43","74.4","83","54","274","5","9","Match Report","2019-2020"
"2019-12-04","Wed","Premier League","Matchweek 15","Home","W 2–1","Chelsea","Aston Villa","Y","LW","85","0","0","0","0","5","1","0","0","49","27","0","0","0","0.7","0.7","0.2","4","0","31","34","91.2","82","52","189","6","8","Match Report","2019-2020"
"2019-12-07","Sat","Premier League","Matchweek 16","Away","L 1–3","Chelsea","Everton","Y","LW,WB","90","0","0","0","0","2","1","0","0","52","14","3","0","0","0.1","0.1","0.1","2","0","17","27","63.0","98","49","194","4","9","Match Report","2019-2020"
"2019-12-10","Tue","Champions Lg","Group stage","Home","W 2–1","eng Chelsea","fr Lille","Y","LW","61","0","0","0","0","2","1","0","0","42","11","0","0","1","0.1","0.1","0.2","4","0","19","27","70.4","50","43","228","4","9","Match Report","2019-2020"
