"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Michael","Parkhurst","Michael Parkhurst",2018,"ATL",33,3125,"CB",30.44352,0.202384399677679,0.181634712411705,0,0.00605449041372351,0.816859334983648,0.825948710622666,0.988995229943315,0.985425241619808,340.008
"Graham","Zusi","Graham Zusi",2018,"SKC",34,3301,"FB/WB",38.3592850651318,0.238082455679898,0.239575435936315,0.0432145564821835,0.0523123578468537,0.816794638444549,0.9968888808606,0.819343714356029,0.85581920548512,782.10227
"Jack","Price","Jack Price",2020,"COL",2,192,"CDM",42,0.241379310344828,0.25,0,0.0952380952380952,0.816532202152637,0.912080940422239,0.895240944048925,0.885735596982225,NA
"Philippe","Senderos","Philippe Senderos",2018,"HOU",8,669,"CB",27.8385650224215,0.215802829631175,0.211340206185567,0.0515463917525773,0.0103092783505155,0.81306079277856,0.894259286274498,0.909200279223028,1,242.5
"Nicolas","Lodeiro","Nicolas Lodeiro",2018,"SEA",27,2592,"CAM",38.5555555555556,0.243167484232656,0.24687800192123,0.0528338136407301,0.0835734870317003,0.811681787598352,1.05322421245288,0.77066381308117,0.759102718286355,2302.5
"Cole","Bassett","Cole Bassett",2018,"COL",6,353,"CM",30.1869688385269,0.276521851955972,0.18018018018018,0.045045045045045,0.018018018018018,0.80982494514427,0.879714816682675,0.920553945195612,0.831776969806489,69
"Artur","Artur","Artur",2018,"CLB",32,2950,"CDM",36.2522033898305,0.241128769169523,0.198384201077199,0.0368043087971275,0.0134649910233393,0.807879749705056,0.916180455096744,0.881791076431277,0.86580153925302,244.16667
"Gregory","van der Wiel","Gregory van der Wiel",2018,"TOR",27,2446,"CB",33.9493049877351,0.205017050921236,0.165317919075145,0.0046242774566474,0.0138728323699422,0.803736490045251,0.854597575623075,0.940485338329281,0.875213242305948,835.00004
"Justin","Meram","Justin Meram",2020,"RSL",2,112,"Wing",25.7142857142857,0.191897654584222,0.2,0.1,0.0333333333333333,0.80373177166391,1.71142690288081,0.469626701737015,0,NA
"Roger","Espinoza","Roger Espinoza",2018,"SKC",32,3015,"CM",31.5542288557214,0.195457863604933,0.27648839556004,0.0454086781029263,0.0575176589303734,0.802342188274455,1.03449790163736,0.775586095442573,0.755490350399828,900
"Eduardo","Sosa","Eduardo Sosa",2018,"CLB",10,428,"CAM",26.6915887850467,0.247602864425294,0.327731092436975,0.092436974789916,0.0672268907563025,0.802093815325834,1.0046680352319,0.798367009995192,0.761074461667493,120.19996
"Lee","Nguyen","Lee Nguyen",2018,"LAFC",25,1967,"CM",32.4067107269954,0.228796319733094,0.245481927710843,0.0316265060240964,0.0557228915662651,0.799726534097834,1.00722022159645,0.793993723468205,0.82923749455,500
"Haris","Medunjanin","Haris Medunjanin",2020,"CIN",2,194,"CDM",40.0824742268041,0.217839533841327,0.160493827160494,0,0.0246913580246914,0.78785129377482,0.797206194962081,0.988265393261645,1,NA
"Emiliano","Amor","Emiliano Amor",2018,"SKC",5,367,"CB",27.2043596730245,0.214884357606829,0.298076923076923,0.0192307692307692,0.0288461538461538,0.785446406488592,0.84167012726424,0.933199814328213,0.777383355075282,274.375
"Felipe","Gutierrez","Felipe Gutierrez",2018,"SKC",20,1612,"CM",31.3250620347395,0.205141205204581,0.288973384030418,0.0760456273764259,0.0456273764258555,0.779316411410098,1.11958011420337,0.696079183189688,0.685493849715087,1649.99996
