Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
175,Dom Dwyer/Dom-Dwyer,us USA,FW,Orlando City,28,1990,18,0.39,0,0,3.56,1.33,0.11,37.5,0.2,0.07,0.11,0.29,0.5,0.5,0.14,-0.11,-0.11,Matches
176,Jeremy Ebobisse/Jeremy-Ebobisse,us USA,FW,Portland,21,1997,25.6,0.43,0,0,2.03,0.82,0,40.4,0.08,0.03,0.21,0.52,0.41,0.41,0.2,0.02,0.02,Matches
177,Raheem Edwards/Raheem-Edwards,ca CAN,DF,Chicago,23,1995,2.7,0.37,0,0,2.22,1.11,0,50,0.81,0.41,0.17,0.33,0.19,0.19,0.09,0.19,0.19,Matches
178,Alberth Elis/Alberth-Elis,hn HON,FWMF,Houston,22,1996,21.4,0.42,0.09,0.09,3.6,1.4,0,39,0.17,0.07,0.09,0.23,0.47,0.4,0.11,-0.05,-0.07,Matches
179,Jack Elliott/Jack-Elliott,eng ENG,DF,Philadelphia,23,1995,34,0.06,0,0,0.68,0.29,0,43.5,0.02,0.01,0.09,0.2,0.08,0.08,0.13,-0.02,-0.02,Matches
180,Tsubasa Endoh/Tsubasa-Endoh,jp JPN,FWMF,Toronto FC,25,1993,9.7,0.31,0,0,1.86,0.93,0,50,0.19,0.1,0.17,0.33,0.19,0.19,0.1,0.12,0.12,Matches
181,Marcus Epps/Marcus-Epps,us USA,MFDF,NY Red Bulls,24,1995,1.2,0,0,0,1.67,0.83,0,50,1.37,0.68,0,0,0.08,0.08,0.03,-0.08,-0.08,Matches
182,Jon Erice/Jon-Erice,es ESP,MF,Vancouver,32,1986,19.4,0,0,0,0.05,0,0,0,0,0,0,,0.01,0.01,0.22,-0.01,-0.01,Matches
183,Magnus Eriksson/Magnus-Eriksson,se SWE,MF,San Jose,28,1990,31.1,0.19,0.03,0.03,2.77,0.68,0.19,24.4,0.09,0.02,0.06,0.24,0.18,0.16,0.06,0.01,0,Matches
184,Franco Escobar/Franco-Escobar,ar ARG,DF,Atlanta,23,1995,22.4,0.04,0,0,0.31,0.09,0,28.6,0.01,0,0.14,0.5,0.04,0.04,0.12,0.01,0.01,Matches
