"First","Last","Player","Season","Team","Min","Pos","Passes","PassPct","xPassPct","Score","Per100","Distance","Vertical","Comp ($K)","Passes/96","PassPct/96","xPassPct/96","Score/96","Per100/96","Distance/96","Vertical/96","extreme1","extreme2","plotnames"
"Ulises","Segura","Ulises Segura",2019,"DCU",1640,"Wing",94,0.702,0.733,-2.85668958723545,-3.03903147578239,15.087586494908,4.69234848484848,170,5.50243902439024,0.702127659574468,0.732517974332292,-0.167220853886953,-3.03903147578239,15.087586494908,4.69234848484848,109,153,"Segura"
"Tate","Schmitt","Tate Schmitt",2019,"RSL",95,"F",5,0.2,0.777,-2.8825963139534,-57.651926279068,6.96646251694503,-6.9,70.25,5.05263157894737,0.2,0.77651926279068,-2.91293943304765,-57.651926279068,6.96646251694503,-6.9,210,9,"Schmitt"
"Felipe","Gutierrez","Felipe Gutierrez",2019,"SKC",2809,"CM",249,0.839,0.851,-2.88482592999936,-1.15856463052183,19.5577370134623,2.59767942583732,1650,8.50978996084016,0.839357429718876,0.850943076024094,-0.0985914166179915,-1.15856463052183,19.5577370134623,2.59767942583732,435,418,"Gutierrez"
"Benny","Feilhaber","Benny Feilhaber",2019,"COL,SKC",1770,"CAM",152,0.855,0.874,-2.90933059155942,-1.91403328392067,16.9563283703457,1.61265384615385,463.4,8.24406779661017,0.855263157894737,0.874403490733944,-0.157794201576104,-1.91403328392067,16.9563283703457,1.61265384615385,482,454,"Feilhaber"
"Erik","Holt","Erik Holt",2019,"RSL",396,"CB",72,0.722,0.764,-2.97911494970322,-4.13765965236558,21.4173630431218,4.67740384615385,70.25,17.4545454545455,0.722222222222222,0.763598818745878,-0.722209684776537,-4.13765965236558,21.4173630431218,4.67740384615385,179,175,"Holt"
"Jordy","Delem","Jordy Delem",2019,"SEA",1550,"CDM",170,0.835,0.853,-2.98132336139678,-1.75371962435105,19.7694485128485,5.0462323943662,70.875,10.5290322580645,0.835294117647059,0.852831313890569,-0.18464970496393,-1.75371962435105,19.7694485128485,5.0462323943662,438,411,"Delem"
"Jorge","Corrales","Jorge Corrales",2019,"CHI,MTL",1208,"FB/WB",159,0.73,0.749,-3.01702427864076,-1.89749954631494,15.7464953758404,4.01905172413793,70.875,12.635761589404,0.729559748427673,0.748534743890822,-0.239763518832378,-1.89749954631494,15.7464953758404,4.01905172413793,145,186,"Corrales"
"Russell","Teibert","Russell Teibert",2019,"VAN",2333,"CM",193,0.839,0.855,-3.04281099140644,-1.57658600591007,15.035319397477,1.66111111111111,190,7.941705957994,0.839378238341969,0.85514409840107,-0.12520782476426,-1.57658600591007,15.035319397477,1.66111111111111,443,419,"Teibert"
"Albert","Rusnak","Albert Rusnak",2019,"RSL",2517,"CAM",87,0.805,0.84,-3.05607581138611,-3.51273081768518,18.1431586533018,4.002,2001.667,3.31823599523242,0.804597701149425,0.839725009326277,-0.116560698408052,-3.51273081768518,18.1431586533018,4.002,403,328,"Rusnak"
"Rece","Buckmaster","Rece Buckmaster",2019,"NYRB",588,"FB/WB",55,0.618,0.674,-3.05761861801148,-5.55930657820268,16.7808994819342,5.59441176470588,NA,8.97959183673469,0.618181818181818,0.673774883963845,-0.499203039675343,-5.55930657820268,16.7808994819342,5.59441176470588,47,79,"Buckmaster"
"Cristian","Higuita","Cristian Higuita",2019,"ORL",686,"CM",70,0.843,0.887,-3.07078633457422,-4.38683762082032,17.759298595702,3.16152542372881,611.663,9.79591836734694,0.842857142857143,0.886725519065346,-0.429731032243623,-4.38683762082032,17.759298595702,3.16152542372881,503,426,"Higuita"
"Ismael","Tajouri","Ismael Tajouri",2019,"NYC",879,"Wing",38,0.763,0.844,-3.07312382757664,-8.08716796730694,14.4217161711214,-2.5498275862069,380.5,4.15017064846416,0.763157894736842,0.844029574409912,-0.335631271271169,-8.08716796730694,14.4217161711214,-2.5498275862069,419,239,"Tajouri"
"Ben","Sweat","Ben Sweat",2019,"NYC",1380,"FB/WB",258,0.771,0.783,-3.07323211431503,-1.1911752381066,17.7320997013596,2.78427135678392,200,17.9478260869565,0.771317829457364,0.78322958183843,-0.213790060126263,-1.1911752381066,17.7320997013596,2.78427135678392,225,257,"Sweat"
