"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Wilfried","Zahibo","Wilfried Zahibo",2019,"NER",24,1626,"CM",28.5166051660517,0.192571334829837,0.178053830227743,0.0289855072463768,0.020703933747412,0.47618940734625,0.563939174354276,0.84439852558833,0.842235045555341,583
"Santiago","Mosquera","Santiago Mosquera",2019,"FCD",23,1276,"Wing",24.7523510971787,0.210775296273643,0.267477203647416,0.109422492401216,0.0455927051671733,0.475887603905542,0.745574217459842,0.638283342907004,0.743249495849147,591.4
"Kyle","Beckerman","Kyle Beckerman",2019,"RSL",25,2261,"CDM",32.0566121185316,0.216598730530619,0.184105960264901,0.0211920529801325,0.0132450331125828,0.47296601382787,0.519616090026481,0.910222032970085,0.884160847353567,325
"Sam","Vines","Sam Vines",2019,"COL",25,2332,"FB/WB",21.9828473413379,0.152362401866772,0.168539325842697,0.00936329588014981,0.00749063670411985,0.47207861715918,0.49639930345668,0.951005800918448,0.9700307865581,81.25
"Marcelo","Marcelo","Marcelo",2019,"CHI",16,1241,"CB",26.0692989524577,0.172216673509217,0.178041543026706,0.0148367952522255,0,0.471170051923469,0.498431105257368,0.945306275939936,0.965193255736748,797.5
"Perry","Kitchen","Perry Kitchen",2019,"LAG",8,611,"CDM",21.2111292962357,0.159033771668121,0.2,0,0.0296296296296296,0.471082790942065,0.572064461888932,0.823478510422707,0.98257327342636,474.167
"Caleb","Stanko","Caleb Stanko",2019,"CIN",23,1545,"CDM",28.4582524271845,0.214392337315834,0.152838427947598,0.0131004366812227,0.0131004366812227,0.468674168939768,0.50968530672643,0.919536354598753,0.876389583915404,390.833
"Sergio","Santos","Sergio Santos",2019,"PHI",17,687,"F",18.8646288209607,0.157128216539114,0.340740740740741,0.155555555555556,0.0444444444444444,0.468171420390006,0.998708652754971,0.468776773985626,0.551018123890351,668.5
"Wil","Trapp","Wil Trapp",2019,"CLB",28,2521,"CDM",35.490678302261,0.226209650003029,0.149141630901288,0.00429184549356223,0.0225321888412017,0.467841050073015,0.501948194265781,0.932050469386276,0.950021248981552,593.746
"Reggie","Cannon","Reggie Cannon",2019,"FCD",28,2474,"FB/WB",30.5383993532741,0.222733832219764,0.167725540025413,0.0127064803049555,0.0177890724269377,0.467780677571684,0.512619625813785,0.912529786250538,0.920566116534869,80.25
"Wayne","Rooney","Wayne Rooney",2019,"DCU",28,2495,"F",26.9723446893788,0.186844545102079,0.299572039942939,0.119828815977175,0.102710413694722,0.467780201529071,0.91578565352611,0.510796603689898,0.353135320266247,3507.5
"Niko","Hansen","Niko Hansen",2019,"CLB,HOU",12,341,"Wing",26.1818181818182,0.286400928151156,0.161290322580645,0.010752688172043,0.043010752688172,0.467700292374194,0.59641997287299,0.784179460190199,0.966384721622071,79.163
"Leonardo","Jara","Leonardo Jara",2019,"DCU",30,2491,"FB/WB",28.2103572862304,0.206719765165343,0.204918032786885,0.0450819672131148,0.0273224043715847,0.466887719561922,0.603412204952293,0.773745899950491,0.813939818462886,560
"Jordy","Delem","Jordy Delem",2019,"SEA",23,1552,"CDM",25.2989690721649,0.207147130174366,0.168704156479218,0.0171149144254279,0.00488997555012225,0.466339940795486,0.50329172469479,0.926579790435235,0.980806600803335,70.875
"Tesho","Akindele","Tesho Akindele",2019,"ORL",28,2031,"F",19.1905465288035,0.137215348009831,0.263546798029557,0.100985221674877,0.0665024630541872,0.464569556060552,0.799631247200449,0.580979742458832,0.483861961730806,150
"Victor","Rodriguez","Victor Rodriguez",2019,"SEA",17,1173,"Wing",26.843989769821,0.182029447980437,0.271341463414634,0.0762195121951219,0.0853658536585366,0.464261750337421,0.794828870926264,0.584102776483682,0.527472384912849,1087.5
"Jesus","Ferreira","Jesus Ferreira",2019,"FCD",33,2610,"F",21.7379310344828,0.154768441022207,0.291032148900169,0.0981387478849408,0.0541455160744501,0.462573919412033,0.754331633415863,0.61322354640935,0.645474044375037,70.25
"Mark","McKenzie","Mark McKenzie",2019,"PHI",7,574,"CB",26.4250871080139,0.171591474727363,0.120253164556962,0.00632911392405063,0,0.46125068556681,0.46125068556681,1,1,82.225
"Matt","Hedges","Matt Hedges",2019,"FCD",33,3146,"CB",31.9491417673236,0.219330492681855,0.146131805157593,0.0114613180515759,0.00477554918815664,0.461052061087301,0.513121976924631,0.898523317692593,0.91638487639629,575.008
"Aurelien","Collin","Aurelien Collin",2019,"PHI",6,580,"CB",31.1172413793103,0.193675776219774,0.154255319148936,0.0265957446808511,0,0.459527512939017,0.608202776884897,0.755549843577881,0.918094266561942,175
"Giancarlo","Gonzalez","Giancarlo Gonzalez",2019,"LAG",20,1572,"CB",19.9083969465649,0.142814899186262,0.153374233128834,0.0214723926380368,0.00306748466257669,0.458486390360127,0.4841947709131,0.946904877753035,0.937215079308628,719.583
"Omar","Browne","Omar Browne",2019,"MTL",10,610,"Wing",26.1245901639344,0.192092574734812,0.253012048192771,0.0843373493975904,0.0542168674698795,0.458043983362627,0.697853225896708,0.656361490303441,0.389245228291946,89.781
